                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.64757,                0.50932,                  1.063,                0.76837,                0.77822,                0.81888,                0.58305,                0.99699,                0.78216,                   1.34,              0.0011059,              0.0011059,              0.0011059
                     36,                 0.6585,                0.51704,                 1.0569,                0.81962,                0.77793,                0.81918,                0.59656,                0.95885,                0.76953,                 1.3424,              0.0010894,              0.0010894,              0.0010894
                     37,                0.64743,                0.50511,                 1.0557,                0.82208,                0.75025,                0.82327,                0.60339,                0.94526,                0.72659,                 1.3563,              0.0010729,              0.0010729,              0.0010729
                     38,                0.64977,                0.51161,                 1.0569,                0.80797,                0.76593,                0.83718,                0.61124,                0.94582,                 0.7205,                 1.3486,              0.0010564,              0.0010564,              0.0010564
                     39,                0.62597,                0.49497,                 1.0431,                0.80978,                0.77748,                0.84196,                0.60468,                0.97249,                0.72917,                 1.3567,              0.0010399,              0.0010399,              0.0010399
                     40,                0.61062,                0.46305,                 1.0365,                0.83411,                0.82008,                0.84064,                0.61771,                0.95294,                0.68978,                 1.3247,              0.0010234,              0.0010234,              0.0010234
                     41,                0.63028,                0.48897,                 1.0494,                0.85566,                   0.74,                0.80991,                0.60348,                0.94464,                0.79073,                 1.3181,              0.0010069,              0.0010069,              0.0010069
                     42,                 0.6163,                0.46947,                 1.0346,                0.83635,                0.80192,                0.84953,                0.62247,                 0.9523,                0.70508,                 1.3575,             0.00099036,             0.00099036,             0.00099036
                     43,                 0.6162,                0.47901,                 1.0398,                0.80097,                0.79191,                0.80861,                 0.6136,                0.92057,                0.76048,                 1.3177,             0.00097386,             0.00097386,             0.00097386
                     44,                0.60389,                0.46422,                 1.0382,                0.83071,                0.77725,                0.84373,                0.62141,                0.96063,                0.71106,                  1.343,             0.00095736,             0.00095736,             0.00095736
                     45,                0.59822,                0.46078,                 1.0204,                0.81206,                 0.7655,                0.84322,                0.60462,                 1.0022,                0.71068,                 1.4044,             0.00094085,             0.00094085,             0.00094085
                     46,                0.60295,                0.46672,                 1.0307,                0.83581,                 0.7658,                0.84589,                0.61317,                0.99725,                0.69321,                 1.3801,             0.00092435,             0.00092435,             0.00092435
                     47,                0.59275,                0.47114,                 1.0236,                0.83571,                0.77556,                0.84194,                0.61142,                0.95505,                0.72364,                 1.3212,             0.00090785,             0.00090785,             0.00090785
                     48,                0.59581,                0.45824,                 1.0181,                0.84944,                0.77881,                0.83994,                0.60522,                0.95574,                 0.7247,                 1.3504,             0.00089134,             0.00089134,             0.00089134
                     49,                0.60139,                0.45665,                 1.0206,                0.80416,                0.81838,                0.84936,                0.62526,                0.91435,                0.69855,                 1.3589,             0.00087484,             0.00087484,             0.00087484
                     50,                0.57844,                0.43014,                 1.0065,                0.83099,                0.77618,                0.84259,                0.60126,                0.97937,                0.69551,                 1.3874,             0.00085834,             0.00085834,             0.00085834
                     51,                0.57047,                0.42656,                  1.011,                0.81797,                0.78767,                0.84487,                  0.617,                0.93224,                 0.7092,                 1.3378,             0.00084184,             0.00084184,             0.00084184
                     52,                0.56529,                0.42096,                 1.0072,                0.82781,                0.77647,                0.82395,                0.60617,                0.94789,                0.68172,                 1.3608,             0.00082533,             0.00082533,             0.00082533
                     53,                 0.5821,                0.43886,                 1.0175,                0.83493,                0.81386,                0.86348,                0.63372,                 0.9127,                0.64629,                 1.3433,             0.00080883,             0.00080883,             0.00080883
                     54,                0.57831,                0.43528,                 1.0083,                0.83767,                0.82788,                0.87069,                0.62959,                0.94318,                0.67347,                 1.3362,             0.00079233,             0.00079233,             0.00079233
                     55,                0.56291,                 0.4267,                0.99981,                0.82128,                0.81797,                0.86254,                 0.6304,                 0.9208,                  0.652,                 1.3443,             0.00077582,             0.00077582,             0.00077582
                     56,                0.56395,                0.41047,                 1.0004,                0.84401,                0.74608,                0.83447,                0.61745,                0.87257,                0.73921,                 1.3091,             0.00075932,             0.00075932,             0.00075932
                     57,                0.55691,                0.41111,                0.99818,                0.76316,                0.81424,                0.81138,                0.60377,                0.92163,                 0.6922,                  1.365,             0.00074282,             0.00074282,             0.00074282
                     58,                0.54732,                0.40302,                0.99379,                0.85123,                0.79809,                0.85619,                 0.6307,                0.91225,                0.65901,                 1.3454,             0.00072631,             0.00072631,             0.00072631
                     59,                0.54704,                0.40759,                0.99486,                0.82579,                0.82364,                0.85694,                0.63002,                0.90473,                0.65272,                  1.308,             0.00070981,             0.00070981,             0.00070981
                     60,                0.53693,                0.38224,                0.98703,                0.88807,                0.75404,                0.84615,                0.62592,                0.90899,                0.68394,                 1.2861,             0.00069331,             0.00069331,             0.00069331
                     61,                0.53889,                0.40531,                0.98729,                 0.8709,                0.71811,                0.81525,                0.60187,                0.94659,                0.74219,                 1.3477,              0.0006768,              0.0006768,              0.0006768
                     62,                0.53091,                0.38698,                0.98306,                0.86762,                0.74467,                0.84487,                0.62683,                0.90302,                0.70816,                 1.2955,              0.0006603,              0.0006603,              0.0006603
                     63,                0.54142,                0.38939,                0.98827,                0.86705,                0.80619,                0.86623,                0.65316,                0.87047,                0.60972,                 1.2925,              0.0006438,              0.0006438,              0.0006438
                     64,                0.51966,                 0.3777,                0.97454,                0.86753,                0.79179,                0.85306,                0.62858,                0.91973,                0.69198,                 1.3188,             0.00062729,             0.00062729,             0.00062729
                     65,                0.52476,                0.37545,                 0.9714,                0.86914,                0.82368,                0.87094,                 0.6522,                0.90535,                0.63223,                 1.3039,             0.00061079,             0.00061079,             0.00061079
                     66,                0.52711,                0.37268,                0.98499,                0.86222,                0.79143,                0.85377,                0.63788,                0.90948,                0.66282,                 1.3161,             0.00059429,             0.00059429,             0.00059429
                     67,                0.51951,                0.36958,                0.97309,                 0.8386,                0.80751,                0.85655,                0.64038,                0.90832,                0.65857,                 1.3236,             0.00057778,             0.00057778,             0.00057778
                     68,                0.50176,                0.36342,                0.97122,                0.87343,                0.77329,                0.85312,                0.63491,                0.90255,                0.69094,                 1.3251,             0.00056128,             0.00056128,             0.00056128
                     69,                0.50695,                0.36619,                  0.966,                0.88998,                0.76773,                0.85539,                0.64338,                0.90987,                0.62475,                 1.3394,             0.00054478,             0.00054478,             0.00054478
                     70,                  0.505,                0.36635,                 0.9666,                 0.8899,                0.76609,                0.85161,                0.63244,                0.91014,                 0.6543,                 1.3096,             0.00052827,             0.00052827,             0.00052827
                     71,                0.48959,                0.35929,                0.95941,                0.81228,                0.83652,                0.86204,                0.63556,                0.92843,                0.63722,                 1.3435,             0.00051177,             0.00051177,             0.00051177
                     72,                0.49713,                0.34911,                0.96949,                0.84008,                0.81666,                0.86126,                0.64019,                0.90746,                0.65864,                 1.3303,             0.00049527,             0.00049527,             0.00049527
                     73,                0.48393,                0.34193,                0.95688,                0.88777,                0.75657,                0.83864,                0.62547,                0.92661,                0.71986,                 1.3512,             0.00047876,             0.00047876,             0.00047876
                     74,                0.48995,                0.35038,                 0.9622,                0.86407,                 0.7655,                0.82806,                0.62678,                0.90419,                0.72879,                 1.3206,             0.00046226,             0.00046226,             0.00046226
                     75,                0.48149,                0.34541,                0.95195,                0.80789,                 0.8042,                0.84569,                0.63712,                0.89829,                0.69571,                 1.3333,             0.00044576,             0.00044576,             0.00044576
                     76,                0.48562,                0.35212,                0.95966,                0.85988,                0.75729,                0.85308,                0.63786,                0.90161,                 0.6533,                 1.3503,             0.00042925,             0.00042925,             0.00042925
                     77,                0.47755,                0.33972,                 0.9584,                0.86552,                0.78201,                0.85576,                 0.6442,                0.87941,                0.66422,                 1.3346,             0.00041275,             0.00041275,             0.00041275
                     78,                0.48446,                0.33946,                 0.9603,                0.86586,                0.77493,                0.85929,                0.65654,                0.86737,                0.63654,                 1.3161,             0.00039625,             0.00039625,             0.00039625
                     79,                0.47244,                0.33287,                 0.9566,                0.86873,                0.78544,                0.85626,                0.65264,                0.86109,                0.63405,                 1.3031,             0.00037974,             0.00037974,             0.00037974
                     80,                0.47239,                0.33349,                 0.9555,                0.86772,                0.79893,                0.86744,                0.66168,                0.86909,                0.61761,                 1.3144,             0.00036324,             0.00036324,             0.00036324
                     81,                0.46577,                0.32499,                0.94736,                0.87168,                0.79143,                0.86471,                0.65484,                 0.8873,                0.62125,                 1.3262,             0.00034674,             0.00034674,             0.00034674
                     82,                0.46951,                0.32636,                0.95335,                0.87584,                0.78901,                0.84254,                0.62791,                0.89776,                0.69447,                 1.3235,             0.00033023,             0.00033023,             0.00033023
                     83,                  0.451,                0.30948,                0.94336,                0.86821,                0.79428,                0.86223,                0.64035,                 0.8798,                0.65618,                 1.3344,             0.00031373,             0.00031373,             0.00031373
                     84,                0.44613,                0.31004,                 0.9438,                0.86648,                0.81222,                0.85101,                 0.6351,                0.92034,                0.64318,                 1.3866,             0.00029723,             0.00029723,             0.00029723
                     85,                0.46119,                0.31724,                0.94689,                0.86431,                0.78678,                 0.8541,                 0.6408,                0.89768,                0.68263,                 1.3583,             0.00028072,             0.00028072,             0.00028072
                     86,                0.44453,                0.30395,                 0.9357,                0.88341,                0.78134,                0.85057,                0.64822,                0.89251,                0.67548,                 1.3334,             0.00026422,             0.00026422,             0.00026422
                     87,                0.44843,                0.30784,                0.93435,                0.86068,                0.80426,                0.86486,                0.65472,                0.86897,                0.63542,                 1.3153,             0.00024772,             0.00024772,             0.00024772
                     88,                0.44482,                0.30579,                0.94222,                0.90027,                0.78201,                0.86269,                0.66443,                0.86594,                0.58574,                 1.3302,             0.00023121,             0.00023121,             0.00023121
                     89,                0.43972,                0.30244,                0.93895,                0.87587,                 0.7925,                0.86018,                0.65651,                0.85993,                0.63842,                 1.3246,             0.00021471,             0.00021471,             0.00021471
                     90,                0.42946,                0.29325,                0.93757,                0.85231,                0.80159,                0.84972,                0.64575,                0.86501,                0.67358,                 1.3388,             0.00019821,             0.00019821,             0.00019821
                     91,                0.34568,                0.24406,                 0.8791,                0.86441,                 0.8075,                0.85451,                0.65358,                 0.8591,                0.63302,                 1.3344,              0.0001817,              0.0001817,              0.0001817
                     92,                0.34221,                0.23297,                0.88268,                0.85692,                0.82008,                0.86739,                0.65936,                0.86591,                0.62193,                 1.3504,              0.0001652,              0.0001652,              0.0001652
                     93,                 0.3272,                 0.2202,                0.86585,                0.88272,                0.78425,                0.86699,                0.66402,                0.86418,                0.62236,                 1.3367,              0.0001487,              0.0001487,              0.0001487
                     94,                 0.3337,                0.22555,                0.87319,                0.86253,                0.80811,                0.86724,                0.66593,                0.86347,                0.64488,                 1.3361,             0.00013219,             0.00013219,             0.00013219
                     95,                0.33172,                0.22219,                0.87502,                 0.8557,                0.81765,                0.86809,                0.67067,                0.87249,                0.63086,                 1.3447,             0.00011569,             0.00011569,             0.00011569
                     96,                0.32579,                 0.2152,                0.86498,                0.83995,                0.83959,                 0.8718,                0.66883,                0.86624,                0.64057,                 1.3363,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.31887,                0.21805,                0.87202,                0.88525,                0.81109,                0.87127,                0.67183,                0.86615,                0.62956,                 1.3425,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.31257,                0.20946,                0.86662,                0.88365,                0.80998,                0.87648,                0.66829,                0.85558,                0.62347,                 1.3411,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.30976,                0.20865,                0.86449,                0.87581,                0.81126,                0.87436,                0.66832,                 0.8516,                0.62361,                 1.3377,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.31688,                 0.2115,                0.86749,                0.86478,                0.81668,                0.87416,                0.67074,                0.85955,                0.62041,                 1.3474,             3.3173e-05,             3.3173e-05,             3.3173e-05
