               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.70435,             0.51066,              1.0386,             0.88837,             0.79247,             0.86983,             0.66706,             0.83437,             0.48848,              1.2131,             0.00406,             0.00406,             0.00406
                  38,              0.6929,             0.50603,              1.0438,             0.90879,             0.81259,             0.88693,             0.67691,             0.84935,             0.51226,              1.2583,            0.003895,            0.003895,            0.003895
                  39,             0.70262,             0.52084,               1.053,             0.85249,              0.7908,             0.84017,             0.61977,             0.88242,             0.58232,              1.2291,             0.00373,             0.00373,             0.00373
                  40,             0.67638,                0.49,              1.0281,             0.90971,             0.79923,             0.89661,             0.67763,             0.86081,             0.48264,              1.2551,            0.003565,            0.003565,            0.003565
                  41,              0.6741,             0.48532,              1.0367,             0.90165,             0.78886,             0.88193,             0.67478,             0.81309,             0.50445,               1.244,              0.0034,              0.0034,              0.0034
                  42,             0.69018,             0.49154,              1.0412,             0.89614,             0.84642,             0.89103,             0.68248,             0.83249,             0.46641,              1.2592,            0.003235,            0.003235,            0.003235
                  43,             0.67348,             0.47115,              1.0241,              0.8832,             0.83387,             0.88929,              0.6807,             0.84407,             0.47788,              1.2221,             0.00307,             0.00307,             0.00307
                  44,             0.66025,             0.45994,              1.0103,             0.88135,             0.82435,             0.89604,             0.67619,             0.87502,             0.48439,              1.2799,            0.002905,            0.002905,            0.002905
                  45,              0.5627,              0.3835,              1.0278,             0.86893,             0.85154,             0.88406,             0.65145,             0.92226,              0.4911,              1.3361,             0.00274,             0.00274,             0.00274
                  46,             0.52943,             0.35238,             0.99319,             0.89905,             0.77202,             0.85837,             0.63812,             0.93413,             0.54155,              1.3419,            0.002575,            0.002575,            0.002575
                  47,              0.5309,             0.35524,             0.98519,             0.88726,             0.82271,             0.89935,             0.68124,             0.89759,             0.48143,              1.3054,             0.00241,             0.00241,             0.00241
                  48,             0.50839,             0.34466,             0.98661,             0.88212,              0.8168,             0.89435,             0.64024,             0.94478,             0.51999,              1.3492,            0.002245,            0.002245,            0.002245
                  49,              0.4976,             0.32859,             0.96423,             0.88172,             0.81765,             0.89011,             0.67057,             0.93555,             0.52652,              1.4041,             0.00208,             0.00208,             0.00208
                  50,             0.48258,             0.31963,             0.96667,              0.8979,             0.77682,             0.87346,             0.63764,              0.8934,             0.53264,              1.3425,            0.001915,            0.001915,            0.001915
                  51,             0.48473,             0.31639,             0.96347,             0.84395,             0.83263,             0.88417,              0.6632,              0.8851,             0.51213,              1.3322,             0.00175,             0.00175,             0.00175
                  52,             0.47343,             0.30702,             0.95578,             0.87195,             0.79697,             0.87819,             0.65679,             0.92686,             0.53051,              1.3431,            0.001585,            0.001585,            0.001585
                  53,             0.45357,              0.3026,             0.94939,             0.91294,             0.76929,             0.88366,               0.665,             0.89563,             0.50516,              1.3003,             0.00142,             0.00142,             0.00142
                  54,             0.44631,             0.28798,             0.93603,             0.89337,             0.80539,               0.889,             0.67339,             0.87249,             0.48199,              1.2791,            0.001255,            0.001255,            0.001255
                  55,             0.43697,              0.2842,              0.9333,             0.87118,             0.82532,             0.87761,             0.66142,             0.90294,             0.51842,              1.3198,             0.00109,             0.00109,             0.00109
                  56,             0.42701,             0.27361,             0.92929,               0.875,             0.82478,             0.88947,             0.67442,             0.86679,             0.48336,              1.3138,            0.000925,            0.000925,            0.000925
                  57,             0.43146,              0.2694,             0.92338,             0.90162,              0.7992,             0.88644,             0.67653,               0.862,             0.48708,               1.266,             0.00076,             0.00076,             0.00076
                  58,             0.41351,             0.26237,             0.91976,             0.89243,             0.80619,             0.89014,             0.68168,             0.85754,             0.48332,              1.2654,            0.000595,            0.000595,            0.000595
                  59,             0.40374,             0.26186,             0.90894,             0.90994,             0.80619,              0.9013,             0.69321,             0.86209,              0.4562,              1.2604,             0.00043,             0.00043,             0.00043
