                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.71245,                0.57894,                 1.0754,                0.82031,                0.76552,                0.83158,                0.58699,                0.93717,                0.78049,                 1.2869,              0.0011059,              0.0011059,              0.0011059
                     36,                0.69806,                0.55557,                 1.0598,                0.78487,                0.78212,                0.82114,                0.58065,                0.95908,                0.74836,                 1.2791,              0.0010894,              0.0010894,              0.0010894
                     37,                0.70576,                0.57392,                 1.0718,                0.81526,                0.77004,                0.81809,                0.58822,                0.97698,                0.77094,                  1.296,              0.0010729,              0.0010729,              0.0010729
                     38,                0.70167,                0.57371,                 1.0644,                0.81414,                0.76007,                0.82215,                  0.605,                0.92298,                0.74281,                  1.282,              0.0010564,              0.0010564,              0.0010564
                     39,                0.68122,                0.55285,                 1.0543,                0.80856,                0.68002,                0.76596,                0.53923,                0.96642,                0.87331,                 1.2923,              0.0010399,              0.0010399,              0.0010399
                     40,                0.68336,                0.54802,                 1.0518,                0.74355,                0.69043,                0.76672,                0.53157,                 1.0381,                0.84026,                 1.3795,              0.0010234,              0.0010234,              0.0010234
                     41,                0.66963,                0.53476,                 1.0412,                0.86616,                0.75265,                0.83624,                0.60872,                0.90496,                 0.7206,                 1.2459,              0.0010069,              0.0010069,              0.0010069
                     42,                0.66547,                0.52973,                 1.0501,                0.85144,                0.77852,                0.84026,                0.60545,                0.93876,                0.71144,                 1.2704,             0.00099036,             0.00099036,             0.00099036
                     43,                0.66952,                0.52656,                 1.0404,                0.80224,                0.79124,                0.82081,                0.59402,                 0.9433,                0.77429,                 1.2743,             0.00097386,             0.00097386,             0.00097386
                     44,                0.66472,                0.52246,                 1.0462,                0.82725,                0.77026,                0.83901,                0.60904,                0.91247,                0.71127,                 1.2786,             0.00095736,             0.00095736,             0.00095736
                     45,                0.65638,                0.51784,                 1.0453,                0.86477,                0.74968,                0.81352,                0.59713,                0.94634,                0.73712,                   1.28,             0.00094085,             0.00094085,             0.00094085
                     46,                0.64311,                0.50896,                 1.0287,                0.79705,                0.76386,                0.80975,                0.57814,                 0.9565,                0.75986,                    1.3,             0.00092435,             0.00092435,             0.00092435
                     47,                0.63431,                0.48834,                 1.0204,                0.81958,                0.78957,                0.83836,                0.59973,                0.91084,                 0.7106,                 1.2581,             0.00090785,             0.00090785,             0.00090785
                     48,                0.64777,                0.53306,                  1.046,                0.83773,                 0.7615,                0.82763,                0.59367,                0.96659,                0.72582,                 1.2946,             0.00089134,             0.00089134,             0.00089134
                     49,                0.63631,                0.50648,                 1.0241,                0.83102,                0.77822,                0.82523,                0.59508,                0.93272,                 0.7332,                  1.258,             0.00087484,             0.00087484,             0.00087484
                     50,                0.61991,                0.47471,                 1.0133,                0.89185,                0.73179,                0.85024,                0.61531,                0.92516,                 0.6727,                 1.2687,             0.00085834,             0.00085834,             0.00085834
                     51,                0.63326,                 0.4817,                 1.0272,                 0.8833,                0.80257,                0.86472,                0.61589,                0.94488,                0.64644,                 1.2659,             0.00084184,             0.00084184,             0.00084184
                     52,                0.62935,                0.48871,                 1.0157,                  0.857,                0.79124,                0.83837,                0.61837,                0.90172,                0.68669,                 1.2327,             0.00082533,             0.00082533,             0.00082533
                     53,                0.62517,                 0.4765,                 1.0159,                 0.8701,                0.78841,                0.86167,                 0.6174,                 0.9214,                0.66081,                 1.2369,             0.00080883,             0.00080883,             0.00080883
                     54,                0.61979,                0.47391,                 1.0146,                0.82729,                 0.7885,                0.83765,                0.61171,                0.89379,                0.69444,                 1.2581,             0.00079233,             0.00079233,             0.00079233
                     55,                0.62164,                0.47799,                 1.0081,                0.81505,                0.80632,                0.85257,                 0.6206,                0.90011,                0.67182,                 1.2352,             0.00077582,             0.00077582,             0.00077582
                     56,                 0.6237,                  0.464,                 1.0237,                0.84231,                0.81047,                  0.862,                0.63095,                0.89036,                0.63704,                 1.2381,             0.00075932,             0.00075932,             0.00075932
                     57,                0.59572,                0.44761,                0.99633,                0.82089,                0.75248,                0.81275,                0.57614,                0.91881,                0.75947,                 1.2748,             0.00074282,             0.00074282,             0.00074282
                     58,                0.58189,                0.44915,                0.99324,                0.84536,                0.78286,                0.85315,                0.62922,                0.88255,                0.65231,                 1.2193,             0.00072631,             0.00072631,             0.00072631
                     59,                0.60083,                0.45674,                 1.0011,                0.82568,                0.76647,                0.82808,                0.60346,                 0.9109,                0.67042,                 1.2451,             0.00070981,             0.00070981,             0.00070981
                     60,                0.58325,                 0.4516,                 0.9966,                0.82418,                0.80329,                0.86105,                0.63489,                0.88007,                0.65586,                 1.2126,             0.00069331,             0.00069331,             0.00069331
                     61,                0.59246,                0.44768,                0.99763,                0.81761,                0.82688,                0.86296,                0.64675,                0.87542,                0.63064,                 1.2164,              0.0006768,              0.0006768,              0.0006768
                     62,                0.57243,                0.42282,                 0.9891,                0.83715,                0.81031,                0.85477,                0.64168,                0.89694,                0.67735,                 1.2366,              0.0006603,              0.0006603,              0.0006603
                     63,                0.57325,                0.43133,                 0.9815,                0.84816,                0.79026,                0.85402,                0.63386,                0.88234,                0.67084,                 1.2268,              0.0006438,              0.0006438,              0.0006438
                     64,                0.57896,                0.43808,                0.98462,                0.86442,                0.77074,                0.84946,                0.62632,                0.89971,                0.66249,                 1.2664,             0.00062729,             0.00062729,             0.00062729
                     65,                0.58106,                 0.4366,                0.99234,                0.85097,                0.78745,                0.85968,                0.62979,                0.89165,                0.64697,                 1.2353,             0.00061079,             0.00061079,             0.00061079
                     66,                0.58075,                0.43291,                0.99643,                0.86507,                 0.8059,                0.87423,                0.64563,                0.90304,                0.62051,                 1.2437,             0.00059429,             0.00059429,             0.00059429
                     67,                0.56775,                 0.4201,                0.98634,                 0.8578,                0.81862,                0.88141,                0.65813,                0.84915,                0.61525,                 1.2307,             0.00057778,             0.00057778,             0.00057778
                     68,                0.55229,                0.41083,                0.97541,                0.80996,                0.80923,                 0.8472,                 0.6275,                0.84521,                0.68569,                 1.2146,             0.00056128,             0.00056128,             0.00056128
                     69,                0.54596,                 0.4063,                0.97997,                0.83725,                0.81018,                0.86523,                0.63917,                0.86842,                0.63883,                 1.2246,             0.00054478,             0.00054478,             0.00054478
                     70,                0.55195,                0.41753,                0.97419,                0.86918,                0.81114,                0.88586,                0.65281,                0.85949,                0.61537,                 1.1946,             0.00052827,             0.00052827,             0.00052827
                     71,                0.54915,                0.40181,                0.97772,                0.85778,                0.78745,                0.86548,                0.63867,                0.88182,                0.63222,                  1.223,             0.00051177,             0.00051177,             0.00051177
                     72,                 0.5405,                0.39902,                0.96755,                0.89128,                0.74415,                0.86357,                0.63501,                 0.8629,                0.64582,                 1.2174,             0.00049527,             0.00049527,             0.00049527
                     73,                 0.5335,                0.38235,                0.96635,                0.87209,                0.75884,                0.85301,                0.63353,                0.88216,                 0.6492,                 1.2234,             0.00047876,             0.00047876,             0.00047876
                     74,                0.53692,                0.38801,                0.97242,                0.85395,                0.80716,                0.86014,                0.64364,                0.85497,                0.63179,                 1.2183,             0.00046226,             0.00046226,             0.00046226
                     75,                0.53522,                0.39091,                0.96743,                0.83121,                0.81044,                0.87588,                0.65389,                0.85361,                0.62066,                 1.1888,             0.00044576,             0.00044576,             0.00044576
                     76,                0.52014,                0.38797,                0.96018,                0.83936,                 0.7926,                  0.865,                0.63741,                 0.8802,                 0.6519,                 1.2203,             0.00042925,             0.00042925,             0.00042925
                     77,                0.52126,                0.37748,                 0.9575,                0.85222,                0.81988,                0.86388,                0.64518,                0.85783,                 0.6332,                 1.2333,             0.00041275,             0.00041275,             0.00041275
                     78,                0.53174,                0.38024,                0.96468,                0.80676,                0.84533,                0.86175,                 0.6414,                 0.8803,                0.61071,                 1.2439,             0.00039625,             0.00039625,             0.00039625
                     79,                0.51042,                0.37575,                  0.963,                0.88146,                0.79183,                0.87776,                0.66769,                0.84598,                0.61807,                 1.2243,             0.00037974,             0.00037974,             0.00037974
                     80,                0.56314,                0.43378,                 1.0294,                0.86967,                0.77283,                 0.8572,                 0.6377,                0.85457,                0.64122,                  1.216,             0.00036324,             0.00036324,             0.00036324
                     81,                0.50257,                0.35929,                0.95064,                0.88605,                0.77958,                0.85873,                0.64016,                0.86749,                0.64221,                 1.2376,             0.00034674,             0.00034674,             0.00034674
                     82,                0.50823,                0.36726,                0.95773,                0.83861,                0.82408,                0.87152,                0.64984,                0.86924,                0.62717,                 1.2473,             0.00033023,             0.00033023,             0.00033023
                     83,                0.50035,                0.35735,                 0.9551,                  0.877,                0.79861,                0.87702,                0.65845,                0.84259,                0.59707,                 1.2288,             0.00031373,             0.00031373,             0.00031373
                     84,                0.50724,                0.36132,                0.95265,                0.86945,                0.79786,                0.87082,                0.64962,                0.84992,                0.59622,                 1.2273,             0.00029723,             0.00029723,             0.00029723
                     85,                 0.4903,                0.35185,                0.95194,                0.86454,                0.79289,                 0.8688,                0.65621,                0.87754,                0.61448,                 1.2546,             0.00028072,             0.00028072,             0.00028072
                     86,                0.49431,                0.35314,                0.94737,                0.83359,                0.82212,                0.87094,                0.65529,                0.84483,                0.60986,                 1.2179,             0.00026422,             0.00026422,             0.00026422
                     87,                0.48402,                0.35163,                0.94752,                0.86432,                0.83037,                0.88723,                0.66249,                0.83835,                0.57599,                 1.2144,             0.00024772,             0.00024772,             0.00024772
