               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.75736,             0.56152,              1.0655,             0.84084,             0.80712,             0.85014,             0.62692,             0.90447,             0.60131,              1.2909,            0.006436,            0.006436,            0.006436
                  38,             0.74649,             0.55595,              1.0763,             0.78093,             0.82656,             0.84179,             0.62773,             0.89261,             0.61079,              1.3206,            0.006337,            0.006337,            0.006337
                  39,             0.75419,             0.57396,              1.0887,             0.85116,             0.75272,             0.83552,             0.62157,                0.93,             0.59247,              1.3644,            0.006238,            0.006238,            0.006238
                  40,             0.72761,             0.54364,              1.0627,             0.80817,             0.78998,             0.82216,             0.59989,             0.90734,             0.62681,              1.3145,            0.006139,            0.006139,            0.006139
                  41,             0.72254,             0.53567,              1.0723,             0.83915,             0.75576,             0.83385,              0.6424,             0.83233,             0.56125,              1.2767,             0.00604,             0.00604,             0.00604
                  42,             0.74313,              0.5549,              1.0761,             0.85217,             0.81036,             0.86049,             0.64277,              0.8696,              0.5659,              1.3049,            0.005941,            0.005941,            0.005941
                  43,             0.72893,             0.54288,              1.0589,             0.86549,             0.79207,             0.85757,             0.63274,             0.89774,             0.54853,              1.2862,            0.005842,            0.005842,            0.005842
                  44,             0.71845,             0.52717,              1.0531,             0.88353,             0.77502,             0.86185,             0.65388,             0.87426,             0.53426,              1.2871,            0.005743,            0.005743,            0.005743
                  45,             0.72684,             0.52976,              1.0619,             0.85598,             0.81919,             0.85426,             0.64831,             0.89205,             0.51822,              1.2883,            0.005644,            0.005644,            0.005644
                  46,             0.71643,             0.53041,               1.055,             0.88619,             0.81643,             0.87476,             0.65905,             0.86147,             0.53122,              1.2946,            0.005545,            0.005545,            0.005545
                  47,             0.69827,             0.51131,              1.0522,             0.85312,             0.83214,             0.88344,             0.66752,             0.84047,             0.53769,              1.2498,            0.005446,            0.005446,            0.005446
                  48,             0.71246,             0.51529,              1.0516,             0.84361,             0.82399,             0.87166,             0.65659,             0.89146,             0.56837,              1.2931,            0.005347,            0.005347,            0.005347
                  49,             0.72344,             0.52647,              1.0598,             0.86658,             0.80637,             0.86923,             0.65304,             0.86465,             0.56854,               1.251,            0.005248,            0.005248,            0.005248
                  50,             0.70446,             0.51074,              1.0482,             0.84841,             0.82368,              0.8689,             0.66731,              0.8219,             0.52531,              1.2631,            0.005149,            0.005149,            0.005149
                  51,              0.6977,             0.50254,              1.0449,             0.87422,               0.796,              0.8637,             0.64091,             0.91774,              0.5768,              1.3682,             0.00505,             0.00505,             0.00505
                  52,             0.69513,             0.48423,              1.0308,             0.86366,             0.77398,             0.87309,             0.65212,             0.85303,             0.56185,              1.2885,            0.004951,            0.004951,            0.004951
                  53,             0.69204,             0.49761,              1.0396,              0.8377,             0.78559,             0.85529,             0.63969,             0.85889,             0.54409,              1.2762,            0.004852,            0.004852,            0.004852
                  54,             0.70174,             0.50473,               1.049,             0.83501,              0.7953,              0.8369,             0.63074,             0.86636,             0.54159,               1.276,            0.004753,            0.004753,            0.004753
                  55,             0.68738,             0.49271,              1.0486,             0.80043,             0.81892,             0.84768,             0.64238,             0.86154,              0.5419,              1.2737,            0.004654,            0.004654,            0.004654
                  56,             0.68072,             0.48182,              1.0327,             0.90748,             0.80972,             0.88553,             0.66471,             0.82542,             0.49868,              1.2808,            0.004555,            0.004555,            0.004555
                  57,             0.67152,             0.47452,              1.0315,             0.87933,             0.83037,             0.88874,             0.65919,             0.82102,             0.49172,              1.2306,            0.004456,            0.004456,            0.004456
                  58,             0.66061,             0.46957,              1.0258,             0.85299,             0.79414,             0.86329,             0.64103,              0.8579,             0.51744,               1.277,            0.004357,            0.004357,            0.004357
                  59,             0.66561,             0.46515,              1.0222,             0.83536,             0.81319,             0.85819,             0.64307,             0.84444,             0.52087,              1.3011,            0.004258,            0.004258,            0.004258
